creation_date,id,link_id,mobile_browser_cookie_id,mobile_click_date,os,ip,,identity_id
2015-02-20T02:43:49.423Z,9.71485E+16,8.41141E+16,9.71485E+16,"""2015-02-20T02:43:49.432Z""",iOS,73.201.131.38,,9.71485E+16
2015-02-20T02:37:12.546Z,9.71468E+16,8.41141E+16,9.71468E+16,"""2015-02-20T02:37:12.558Z""",iOS,73.132.118.29,,9.71468E+16
2015-02-20T02:34:55.221Z,9.71462E+16,8.41143E+16,9.71462E+16,"""2015-02-20T02:34:55.229Z""",iOS,71.62.97.135,,9.71462E+16
2015-02-20T02:33:12.228Z,9.71458E+16,8.41141E+16,9.71458E+16,"""2015-02-20T02:33:12.237Z""",iOS,108.45.162.252,,9.71458E+16
2015-02-20T02:32:21.272Z,9.71456E+16,8.41141E+16,9.71456E+16,"""2015-02-20T02:32:21.282Z""",iOS,74.96.253.254,,9.71456E+16
2015-02-20T02:30:41.804Z,9.71452E+16,8.41141E+16,9.71452E+16,"""2015-02-20T02:30:41.825Z""",iOS,68.100.107.98,,9.71452E+16
2015-02-20T02:24:55.140Z,9.71437E+16,8.41143E+16,9.15835E+16,"""2015-02-20T02:24:55.150Z""",iOS,172.56.3.230,,9.71437E+16
2015-02-20T02:06:47.133Z,9.71392E+16,8.41141E+16,9.71392E+16,"""2015-02-20T02:06:47.141Z""",iOS,98.169.174.41,,9.71392E+16
2015-02-20T01:58:27.116Z,9.71371E+16,8.41141E+16,9.71371E+16,"""2015-02-20T01:58:27.126Z""",iOS,166.171.58.56,,9.71371E+16
2015-02-20T01:55:10.622Z,9.71362E+16,8.41143E+16,9.71362E+16,"""2015-02-20T01:55:10.633Z""",iOS,76.111.161.106,,9.71362E+16
2015-02-20T01:52:19.106Z,9.71355E+16,8.41141E+16,9.71355E+16,"""2015-02-20T01:52:19.118Z""",iOS,73.43.71.194,,9.71355E+16
2015-02-20T01:48:48.198Z,9.71346E+16,8.41141E+16,9.71346E+16,"""2015-02-20T01:48:48.206Z""",iOS,108.31.74.49,,9.71346E+16
2015-02-20T01:47:46.759Z,9.71344E+16,8.65069E+16,9.71344E+16,"""2015-02-20T01:47:46.773Z""",iOS,199.193.150.3,,9.71344E+16
2015-02-20T01:46:17.274Z,9.7134E+16,8.41141E+16,9.7134E+16,"""2015-02-20T01:46:30.647Z""",iOS,174.236.202.29,,9.7134E+16
2015-02-20T01:46:00.327Z,9.71339E+16,8.41143E+16,9.71339E+16,"""2015-02-20T01:46:00.338Z""",iOS,174.60.127.56,,9.71339E+16
2015-02-20T01:30:42.643Z,9.71301E+16,8.41141E+16,9.71301E+16,"""2015-02-20T01:30:42.653Z""",iOS,164.82.32.13,,9.71301E+16
2015-02-20T01:29:45.177Z,9.71298E+16,8.41141E+16,9.71298E+16,"""2015-02-20T01:29:45.189Z""",iOS,166.171.56.95,,9.71298E+16
2015-02-20T01:24:54.200Z,9.71286E+16,8.65069E+16,9.71286E+16,"""2015-02-20T01:24:54.209Z""",iOS,70.192.210.66,,9.71286E+16
2015-02-20T01:17:16.954Z,9.71267E+16,8.41143E+16,9.71267E+16,"""2015-02-20T01:17:16.965Z""",iOS,73.173.110.239,,9.71267E+16
2015-02-20T01:13:45.008Z,9.71258E+16,8.41141E+16,9.71258E+16,"""2015-02-20T01:14:24.785Z""",iOS,69.140.117.228,,9.71258E+16
2015-02-20T01:05:21.130Z,9.71237E+16,8.41141E+16,9.71237E+16,"""2015-02-20T01:05:21.138Z""",iOS,166.170.29.113,,9.71237E+16
2015-02-20T01:04:40.705Z,9.71235E+16,8.41141E+16,9.71235E+16,"""2015-02-20T01:04:40.720Z""",iOS,71.178.35.16,,9.71235E+16
2015-02-20T01:03:24.825Z,9.71232E+16,8.41141E+16,9.71232E+16,"""2015-02-20T01:03:24.838Z""",iOS,69.140.247.27,,9.71232E+16
2015-02-20T00:27:40.418Z,9.71142E+16,8.41141E+16,9.71142E+16,"""2015-02-20T00:27:40.427Z""",iOS,166.170.35.173,,9.71142E+16
2015-02-20T00:14:42.687Z,9.7111E+16,8.41141E+16,9.7111E+16,"""2015-02-20T00:14:49.515Z""",iOS,174.55.202.150,,9.7111E+16
2015-02-20T00:08:49.594Z,9.71095E+16,8.41141E+16,9.71095E+16,"""2015-02-20T00:08:49.603Z""",iOS,173.59.255.124,,9.71095E+16
2015-02-19T23:55:33.256Z,9.71061E+16,8.41141E+16,9.71061E+16,"""2015-02-19T23:55:33.264Z""",iOS,172.56.3.199,,9.71061E+16
2015-02-19T23:39:54.516Z,9.71022E+16,8.41143E+16,9.71022E+16,"""2015-02-19T23:39:54.526Z""",iOS,98.117.35.220,,9.71022E+16
2015-02-19T23:37:49.353Z,9.71017E+16,8.41141E+16,9.71017E+16,"""2015-02-19T23:37:49.358Z""",iOS,70.192.205.73,,9.71017E+16
2015-02-19T23:28:54.363Z,9.70994E+16,8.41141E+16,9.70994E+16,"""2015-02-19T23:28:54.376Z""",iOS,184.191.32.73,,9.70994E+16
2015-02-19T23:26:41.401Z,9.70989E+16,8.41141E+16,9.70989E+16,"""2015-02-19T23:26:41.408Z""",iOS,70.192.207.181,,9.70989E+16
2015-02-19T23:18:55.014Z,9.70969E+16,8.41141E+16,9.70969E+16,"""2015-02-19T23:18:55.024Z""",iOS,69.255.140.55,,9.70969E+16
2015-02-19T23:18:00.312Z,9.70967E+16,8.41141E+16,9.70967E+16,"""2015-02-19T23:18:00.326Z""",iOS,76.114.168.24,,9.70967E+16
2015-02-19T23:16:33.281Z,9.70963E+16,8.41143E+16,9.70963E+16,"""2015-02-19T23:16:33.286Z""",iOS,66.87.86.50,,9.70963E+16
2015-02-19T23:13:06.159Z,9.70955E+16,8.41141E+16,9.70955E+16,"""2015-02-19T23:13:14.051Z""",iOS,166.175.57.151,,9.70955E+16
2015-02-19T23:12:12.315Z,9.70952E+16,8.41141E+16,9.70952E+16,"""2015-02-19T23:12:12.322Z""",iOS,166.170.35.90,,9.70952E+16
